,Movie Name,Rating
0,The Shawshank Redemption,9.3
1,The Godfather,9.2
2,The Dark Knight,9.0
3,Schindler's List,9.0
4,12 Angry Men,9.0
5,The Lord of the Rings: The Return of the King,9.0
6,The Godfather Part II,9.0
7,Pulp Fiction,8.9
8,The Lord of the Rings: The Fellowship of the Ring,8.9
9,Inception,8.8
10,Fight Club,8.8
11,Forrest Gump,8.8
12,"The Good, the Bad and the Ugly",8.8
13,The Lord of the Rings: The Two Towers,8.8
14,12th Fail,8.8
15,Interstellar,8.7
16,The Matrix,8.7
17,Goodfellas,8.7
18,One Flew Over the Cuckoo's Nest,8.7
19,Star Wars: Episode V - The Empire Strikes Back,8.7
20,Jai Bhim,8.7
21,777 Charlie,8.7
22,Soorarai Pottru,8.7
23,Se7en,8.6
24,The Silence of the Lambs,8.6
25,The Shawshank Redemption,9.3
26,The Godfather,9.2
27,The Dark Knight,9.0
28,Schindler's List,9.0
29,12 Angry Men,9.0
30,The Lord of the Rings: The Return of the King,9.0
31,The Godfather Part II,9.0
32,Pulp Fiction,8.9
33,The Lord of the Rings: The Fellowship of the Ring,8.9
34,Inception,8.8
35,Fight Club,8.8
36,Forrest Gump,8.8
37,"The Good, the Bad and the Ugly",8.8
38,The Lord of the Rings: The Two Towers,8.8
39,12th Fail,8.8
40,Interstellar,8.7
41,The Matrix,8.7
42,Goodfellas,8.7
43,One Flew Over the Cuckoo's Nest,8.7
44,Star Wars: Episode V - The Empire Strikes Back,8.7
45,Jai Bhim,8.7
46,777 Charlie,8.7
47,Soorarai Pottru,8.7
48,Se7en,8.6
49,The Silence of the Lambs,8.6
50,The Shawshank Redemption,9.3
51,The Godfather,9.2
52,The Dark Knight,9.0
53,Schindler's List,9.0
54,12 Angry Men,9.0
55,The Lord of the Rings: The Return of the King,9.0
56,The Godfather Part II,9.0
57,Pulp Fiction,8.9
58,The Lord of the Rings: The Fellowship of the Ring,8.9
59,Inception,8.8
60,Fight Club,8.8
61,Forrest Gump,8.8
62,"The Good, the Bad and the Ugly",8.8
63,The Lord of the Rings: The Two Towers,8.8
64,12th Fail,8.8
65,Interstellar,8.7
66,The Matrix,8.7
67,Goodfellas,8.7
68,One Flew Over the Cuckoo's Nest,8.7
69,Star Wars: Episode V - The Empire Strikes Back,8.7
70,Jai Bhim,8.7
71,777 Charlie,8.7
72,Soorarai Pottru,8.7
73,Se7en,8.6
74,The Silence of the Lambs,8.6
75,The Shawshank Redemption,9.3
76,The Godfather,9.2
77,The Dark Knight,9.0
78,Schindler's List,9.0
79,12 Angry Men,9.0
80,The Lord of the Rings: The Return of the King,9.0
81,The Godfather Part II,9.0
82,Pulp Fiction,8.9
83,The Lord of the Rings: The Fellowship of the Ring,8.9
84,Inception,8.8
85,Fight Club,8.8
86,Forrest Gump,8.8
87,"The Good, the Bad and the Ugly",8.8
88,The Lord of the Rings: The Two Towers,8.8
89,12th Fail,8.8
90,Interstellar,8.7
91,The Matrix,8.7
92,Goodfellas,8.7
93,One Flew Over the Cuckoo's Nest,8.7
94,Star Wars: Episode V - The Empire Strikes Back,8.7
95,Jai Bhim,8.7
96,777 Charlie,8.7
97,Soorarai Pottru,8.7
98,Se7en,8.6
99,The Silence of the Lambs,8.6
100,The Shawshank Redemption,9.3
101,The Godfather,9.2
102,The Dark Knight,9.0
103,Schindler's List,9.0
104,12 Angry Men,9.0
105,The Lord of the Rings: The Return of the King,9.0
106,The Godfather Part II,9.0
